player_display_name,position,season,recent_team,fantasy_points_ppr
Tony Richardson,FB,2000,KC,189.2
Richie Anderson,FB,2000,NYJ,184.4
Larry Centers,FB,2000,WAS,169.3
Mike Alstott,FB,2000,TB,93.7
Bob Christian,FB,2000,ATL,76.2
William Henderson,FB,2000,GB,62.5
Brad Hoover,FB,2000,CAR,57.5
Chris Hetherington,FB,2000,CAR,49
Robert Thomas,FB,2000,DAL,48.2
Robert Holcombe,FB,2000,LA,48
Mack Strong,FB,2000,SEA,44
William Floyd,FB,2000,CAR,43.7
Jon Ritchie,FB,2000,LV,43.3
Marc Edwards,FB,2000,CLE,39.7
Terrelle Smith,FB,2000,NO,31.6
Rob Konrad,FB,2000,MIA,26.2
Lorenzo Neal,FB,2000,TEN,22.3
Jonathan Linton,FB,2000,BUF,16.8
Clif Groce,FB,2000,CIN,15.9
Sam Gash,FB,2000,BAL,15.2
Jerald Sowell,FB,2000,NYJ,14.4
Donnell Bennett,FB,2000,KC,12.1
Dan Kreider,FB,2000,PIT,11.6
Jim Finn,FB,2000,IND,9.4
Daimon Shelton,FB,2000,JAX,9.1
Jon Witman,FB,2000,PIT,8.8
Joel Makovicka,FB,2000,ARI,8.6
Harold Shaw,FB,2000,NE,4.3
Reggie Brown,FB,2000,SEA,3.5
Chris Floyd,FB,2000,NE,3
Harold Morrow,FB,2000,MIN,1.2
Tim Seder,K,2000,DAL,6.1
David Akers,K,2000,PHI,1.5
Neil Rackers,K,2000,CIN,-0.5
Jeff Garcia,QB,2000,SF,339.82
Daunte Culpepper,QB,2000,MIN,339.16
Peyton Manning,QB,2000,IND,293.82
Donovan McNabb,QB,2000,PHI,291.6
Rich Gannon,QB,2000,LV,287.22
Elvis Grbac,QB,2000,KC,227.12
Mark Brunell,QB,2000,JAX,227
Shaun King,QB,2000,TB,217.36
Kerry Collins,QB,2000,NYG,215.54
Brett Favre,QB,2000,GB,203.36
Drew Bledsoe,QB,2000,NE,191.68
Steve Beuerlein,QB,2000,CAR,189.34
Kurt Warner,QB,2000,LA,185.02
Vinny Testaverde,QB,2000,NYJ,184.88
Brian Griese,QB,2000,DEN,183.74
Kordell Stewart,QB,2000,PIT,179.68
Steve McNair,QB,2000,TEN,172.58
Charlie Batch,QB,2000,DET,148.66
Jon Kitna,QB,2000,SEA,143.62
Trent Green,QB,2000,LA,143.18
Rob Johnson,QB,2000,BUF,140.84
Jay Fiedler,QB,2000,MIA,138.52
Jeff Blake,QB,2000,NO,137.66
Jake Plummer,QB,2000,ARI,132.38
Cade McNown,QB,2000,CHI,125.3
Brad Johnson,QB,2000,WAS,119.36
Doug Flutie,QB,2000,BUF,112.14
Aaron Brooks,QB,2000,NO,110.76
Chris Chandler,QB,2000,ATL,109.68
Gus Frerotte,QB,2000,DEN,97.04
Trent Dilfer,QB,2000,BAL,90.12
Tony Banks,QB,2000,BAL,85.22
Ryan Leaf,QB,2000,LAC,76.56
Tim Couch,QB,2000,CLE,73.86
Jeff George,QB,2000,WAS,73.76
Jim Harbaugh,QB,2000,LAC,65.66
Randall Cunningham,QB,2000,DAL,64.5
Troy Aikman,QB,2000,DAL,63.94
Akili Smith,QB,2000,CIN,53.54
Scott Mitchell,QB,2000,CIN,41.04
Doug Pederson,QB,2000,CLE,39.88
Shane Matthews,QB,2000,CHI,39.46
Kent Graham,QB,2000,PIT,35.82
Stoney Case,QB,2000,DET,35.62
Brock Huard,QB,2000,SEA,31.22
Neil O'Donnell,QB,2000,TEN,22.64
Jim Miller,QB,2000,CHI,19.54
Danny Kanell,QB,2000,ATL,18.24
Jamie Martin,QB,2000,JAX,17.68
Dave Brown,QB,2000,ARI,16.68
Doug Johnson,QB,2000,ATL,13.34
Rick Mirer,QB,2000,SF,11.54
Warren Moon,QB,2000,KC,10.52
Damon Huard,QB,2000,MIA,10.04
Matt Hasselbeck,QB,2000,GB,7.66
Chad Pennington,QB,2000,NYJ,6.68
Ray Lucas,QB,2000,NYJ,6.44
Jeff Lewis,QB,2000,CAR,5.9
Michael Bishop,QB,2000,NE,5.1
Clint Stoerner,QB,2000,DAL,4.96
Chris Greisen,QB,2000,ARI,4.7
Bubby Brister,QB,2000,MIN,3.28
Anthony Wright,QB,2000,DAL,3.08
Alex Van Pelt,QB,2000,BUF,2.68
Spergon Wynn,QB,2000,CLE,1.5
Dameyune Craig,QB,2000,CAR,1.4
Chris Redman,QB,2000,BAL,0.76
John Friesz,QB,2000,NE,0.64
Eric Zeier,QB,2000,TB,0.56
Kevin Thompson,QB,2000,CLE,0.32
Tom Brady,QB,2000,NE,0.24
Mark Hartsell,QB,2000,CHI,0
Travis Brown,QB,2000,SEA,0
Jarious Jackson,QB,2000,DEN,-0.1
Todd Husak,QB,2000,WAS,-0.18
Danny Wuerffel,QB,2000,GB,-0.2
Jonathan Quinn,QB,2000,JAX,-0.2
Tim Rattay,QB,2000,SF,-0.26
Bobby Hoying,QB,2000,LV,-0.3
Jason Garrett,QB,2000,NYG,-0.4
Koy Detmer,QB,2000,PHI,-1.2
Moses Moreno,QB,2000,LAC,-2.08
Joe Hamilton,QB,2000,TB,-2.2
Marshall Faulk,RB,2000,LA,453.5
Edgerrin James,RB,2000,IND,388.1
Eddie George,RB,2000,TEN,326.4
Ahman Green,RB,2000,GB,313.2
Curtis Martin,RB,2000,NYJ,302.52
Charlie Garner,RB,2000,SF,296.7
Ricky Watters,RB,2000,SEA,295.1
Tiki Barber,RB,2000,NYG,287.8
Robert Smith,RB,2000,MIN,279.3
Fred Taylor,RB,2000,JAX,276.3
Mike Anderson,RB,2000,DEN,275
Stephen Davis,RB,2000,WAS,251.5
Warrick Dunn,RB,2000,TB,247.9
James Stewart,RB,2000,DET,245.2
Lamar Smith,RB,2000,MIA,243.3
Ricky Williams,RB,2000,NO,231.16
Michael Pittman,RB,2000,ARI,229.5
Jamal Lewis,RB,2000,BAL,224.4
Jamal Anderson,RB,2000,ATL,209.8
Corey Dillon,RB,2000,CIN,205.8
Jerome Bettis,RB,2000,PIT,198.9
Tyrone Wheatley,RB,2000,LV,192.9
James Allen,RB,2000,CHI,188.7
Emmitt Smith,RB,2000,DAL,182.6
Kevin Faulk,RB,2000,NE,178.5
Travis Prentice,RB,2000,CLE,151.7
Tim Biakabutuka,RB,2000,CAR,149.6
Shawn Bryson,RB,2000,BUF,125.1
Sammy Morris,RB,2000,BUF,123.1
Priest Holmes,RB,2000,BAL,122.9
Terrell Fletcher,RB,2000,LAC,122.1
Ron Dayne,RB,2000,NYG,107.9
Randy Jordan,RB,2000,LV,106.4
Darnell Autry,RB,2000,PHI,105.9
Fred Beasley,RB,2000,SF,104.7
Chris Warren,RB,2000,PHI,103.4
Thomas Jones,RB,2000,ARI,96.1
J.R. Redmond,RB,2000,NE,91.2
Brandon Bennett,RB,2000,CIN,84
Duce Staley,RB,2000,PHI,80.2
Napoleon Kaufman,RB,2000,LV,79.2
Jermaine Fazande,RB,2000,LAC,73.2
Brian Mitchell,RB,2000,PHI,71.44
Zack Crockett,RB,2000,LV,71.2
Dorsey Levens,RB,2000,GB,70.3
Stanley Pritchett,RB,2000,PHI,68.1
Greg Comella,RB,2000,NYG,65.9
Kimble Anders,RB,2000,KC,65.5
Antowain Smith,RB,2000,BUF,64.4
Justin Watson,RB,2000,LA,63.8
Cecil Martin,RB,2000,PHI,58.6
Richard Huntley,RB,2000,PIT,58.6
Chad Morton,RB,2000,NO,57.7
Mario Bates,RB,2000,DET,50.6
Obafemi Ayanbadejo,RB,2000,BAL,49.5
Shaun Alexander,RB,2000,SEA,48.4
Errict Rhett,RB,2000,CLE,47.6
Anthony Johnson,RB,2000,JAX,43.7
Chris Fuamatu-Ma'afala,RB,2000,PIT,42.1
Terrell Davis,RB,2000,DEN,41.9
Fred McCrary,RB,2000,LAC,40
Howard Griffith,RB,2000,DEN,38.5
Thurman Thomas,RB,2000,MIA,37.3
Tony Carter,RB,2000,NE,37.3
Jamel White,RB,2000,CLE,37.1
J.J. Johnson,RB,2000,MIA,36.8
Bernie Parmalee,RB,2000,NYJ,36
Terry Allen,RB,2000,NO,33.6
Autry Denson,RB,2000,MIA,33.5
Rodney Thomas,RB,2000,TEN,33
Michael Wiley,RB,2000,DAL,32
Adrian Murrell,RB,2000,WAS,29.3
Curtis Enis,RB,2000,CHI,29.2
Frank Moreau,RB,2000,KC,28.1
Robert Chancey,RB,2000,LAC,26.9
Terry Jackson,RB,2000,SF,24.4
KaRon Coleman,RB,2000,DEN,23.7
Skip Hicks,RB,2000,WAS,23.1
De'Mond Parker,RB,2000,GB,22.5
Jerald Moore,RB,2000,NO,21.9
Mike Cloud,RB,2000,KC,21.9
Nicolas Luchey,RB,2000,CIN,20.8
Sedrick Irvin,RB,2000,DET,19.9
Cory Schlesinger,RB,2000,DET,19.6
Stacey Mack,RB,2000,JAX,18.5
Moe Williams,RB,2000,MIN,15.8
Chris Howard,RB,2000,JAX,14.8
Paul Smith,RB,2000,SF,14.7
Brian Milne,RB,2000,NO,14.4
Olandis Gary,RB,2000,DEN,12
Patrick Pass,RB,2000,NE,11.5
Shyrone Stith,RB,2000,JAX,11.5
Rabih Abdullah,RB,2000,TB,10.4
Terry Kirby,RB,2000,LV,10
Brock Olivo,RB,2000,DET,8
Marlon Barnes,RB,2000,CHI,7.8
Ronney Jenkins,RB,2000,LAC,7.7
Detron Smith,RB,2000,DEN,7.1
Raymont Harris,RB,2000,NE,7
Steve Bush,RB,2000,CIN,6.9
Maurice Smith,RB,2000,ATL,6.8
Scott Dragos,RB,2000,CHI,6.8
Joe Montgomery,RB,2000,NYG,6.4
Charlie Rogers,RB,2000,SEA,6
Aaron Stecker,RB,2000,TB,5.6
Fred McAfee,RB,2000,NO,3.7
Deon Dyer,RB,2000,MIA,3.4
Dennis McKinley,RB,2000,ARI,3.3
Amp Lee,RB,2000,PHI,3.2
James Hodgins,RB,2000,LA,2.8
Troy Hambrick,RB,2000,DAL,2.8
Ron Rivers,RB,2000,ATL,2.7
Curtis Keaton,RB,2000,CIN,2.4
Trung Canidate,RB,2000,LA,2
Clarence Williams,RB,2000,ARI,1.5
Amos Zereoue,RB,2000,PIT,1.4
Kenny Bynum,RB,2000,LAC,0.9
Basil Mitchell,RB,2000,GB,0.8
David Palmer,RB,2000,MIN,0.8
Jermaine Williams,RB,2000,JAX,0.8
Lennox Gordon,RB,2000,IND,0.7
Jonas Lewis,RB,2000,SF,0.6
Chad Dukes,RB,2000,JAX,0.2
Mike Green,RB,2000,TEN,0
Travis Jervey,RB,2000,SF,0
Abdul-Karim al-Jabbar,RB,2000,IND,-0.2
Herbert Goodman,RB,2000,GB,-1.2
Tony Gonzalez,TE,2000,KC,259
Shannon Sharpe,TE,2000,BAL,178
Chad Lewis,TE,2000,PHI,160.5
Kyle Brady,TE,2000,JAX,156.9
Freddie Jones,TE,2000,LAC,156.3
Frank Wycheck,TE,2000,TEN,155.12
Ken Dilger,TE,2000,IND,116.8
Stephen Alexander,TE,2000,WAS,108
Jackie Harris,TE,2000,DAL,100.2
Jay Riemersma,TE,2000,BUF,94.4
Marcus Pollard,TE,2000,IND,93.9
Rickey Dudley,TE,2000,LV,87.3
Wesley Walls,TE,2000,CAR,83.5
David Sloan,TE,2000,DET,81.9
Greg Clark,TE,2000,SF,80.8
Desmond Clark,TE,2000,DEN,77.1
Bubba Franks,TE,2000,GB,76.3
Dave Moore,TE,2000,TB,75.8
Reggie Kelly,TE,2000,ATL,75
Itula Mili,TE,2000,SEA,74.8
Andrew Glover,TE,2000,NO,71.6
Aaron Shea,TE,2000,CLE,70.2
Christian Fauria,TE,2000,SEA,63.7
Tony McGee,TE,2000,CIN,62.9
Johnny McWilliams,TE,2000,MIN,56.6
Pete Mitchell,TE,2000,NYG,55.5
Mark Bruener,TE,2000,PIT,54.2
Byron Chamberlain,TE,2000,DEN,51.5
Jermaine Wiggins,TE,2000,NE,48.7
Terry Hardy,TE,2000,ARI,47
Tyrone Davis,TE,2000,GB,46.7
Kris Mangum,TE,2000,CAR,46.5
Eric Bjornson,TE,2000,NE,45.9
Jeff Thomason,TE,2000,PHI,44.6
Kaseem Sinceno,TE,2000,CHI,43.6
John Davis,TE,2000,MIN,43.2
Erron Kinney,TE,2000,TEN,42.7
Anthony Becht,TE,2000,NYJ,42.4
Brian Kozlowski,TE,2000,ATL,42.1
Roland Williams,TE,2000,LA,41.2
Jeremy Brigham,TE,2000,LV,35.7
Rod Rutledge,TE,2000,NE,31.3
David LaFleur,TE,2000,DAL,28.9
Dan Campbell,TE,2000,NYG,28.6
Mike Sellers,TE,2000,WAS,28
Mark Campbell,TE,2000,CLE,26
Jed Weaver,TE,2000,MIA,25.9
John Allred,TE,2000,CHI,25.9
Jimmy Kleinsasser,TE,2000,MIN,24.1
Walter Rasby,TE,2000,DET,23.8
Marco Battaglia,TE,2000,CIN,23.5
Luther Broughton,TE,2000,PHI,22.4
Troy Drayton,TE,2000,KC,19.8
Ben Coates,TE,2000,BAL,19.4
Fred Baxter,TE,2000,NYJ,18.2
Chris Gedney,TE,2000,ARI,17.5
Steve Heiden,TE,2000,LAC,15.2
Casey Crawford,TE,2000,CAR,14.7
Sheldon Jackson,TE,2000,BUF,14.6
Andrew Jordan,TE,2000,MIN,14.3
Lamont Hall,TE,2000,NO,14.3
Hunter Goodwin,TE,2000,MIA,14.2
Tywan Mitchell,TE,2000,ARI,13
Ernie Conwell,TE,2000,LA,11.3
Bobby Collins,TE,2000,BUF,9.9
Patrick Hape,TE,2000,TB,9.9
Cory Geason,TE,2000,PIT,9.6
Alonzo Mayes,TE,2000,CHI,8
Howard Cross,TE,2000,NYG,7
Mikhael Ricks,TE,2000,LAC,6.5
Alfred Pupunu,TE,2000,DET,6.2
Matt Cushing,TE,2000,PIT,5.7
Ryan Wetnight,TE,2000,GB,5
Jason Dunn,TE,2000,KC,4.6
Michael Roan,TE,2000,TEN,4.2
Damon Jones,TE,2000,JAX,2.2
Reggie Davis,TE,2000,LAC,1.8
Zeron Flemister,TE,2000,WAS,1.8
Billy Miller,TE,2000,DEN,1.7
Brian Kinchen,TE,2000,CAR,1.7
Dustin Lyman,TE,2000,CHI,1.4
Jay Tant,TE,2000,ARI,1.4
Todd Yoder,TE,2000,TB,1.1
Chris Eitzmann,TE,2000,NE,0
Greg DeLong,TE,2000,JAX,0
James Jenkins,TE,2000,WAS,0
Jerame Tuman,TE,2000,PIT,0
Rich Griffith,TE,2000,JAX,0
Marvin Harrison,WR,2000,IND,323.8
Rod Smith,WR,2000,DEN,317.7
Terrell Owens,WR,2000,SF,317.2
Randy Moss,WR,2000,MIN,311.3
Ed McCaffrey,WR,2000,DEN,286.1
Isaac Bruce,WR,2000,LA,281.5
Joe Horn,WR,2000,NO,277.1
Cris Carter,WR,2000,MIN,275.4
Torry Holt,WR,2000,LA,272.3
Jimmy Smith,WR,2000,JAX,260.3
Muhsin Muhammad,WR,2000,CAR,257.5
Derrick Alexander,WR,2000,KC,257
Eric Moulds,WR,2000,BUF,249.9
Tim Brown,WR,2000,LV,249.1
Amani Toomer,WR,2000,NYG,239.9
Keenan McCardell,WR,2000,JAX,238.7
David Boston,WR,2000,ARI,211.1
Wayne Chrebet,WR,2000,NYJ,210.4
Troy Brown,WR,2000,NE,210
Terry Glenn,WR,2000,NE,209.1
Antonio Freeman,WR,2000,GB,202.9
Keyshawn Johnson,WR,2000,TB,197.7
Jerry Rice,WR,2000,SF,191.7
Bill Schroeder,WR,2000,GB,188
Derrick Mason,WR,2000,TEN,184.2
Ike Hilliard,WR,2000,NYG,183.6
Donald Hayes,WR,2000,CAR,170.9
Jeff Graham,WR,2000,LAC,169.7
Peter Warrick,WR,2000,CIN,165
Frank Sanders,WR,2000,ARI,164.9
Oronde Gadsden,WR,2000,MIA,164.3
Sean Dawkins,WR,2000,SEA,160
Charles Johnson,WR,2000,PHI,158.6
Johnnie Morton,WR,2000,DET,157
Darrell Jackson,WR,2000,SEA,156.2
Marcus Robinson,WR,2000,CHI,156.1
Dedric Ward,WR,2000,NYJ,154.4
Az-Zahir Hakim,WR,2000,LA,154.3
Shawn Jefferson,WR,2000,ATL,154.3
Curtis Conway,WR,2000,LAC,151.8
Terance Mathis,WR,2000,ATL,150
James McKnight,WR,2000,DAL,148.8
Hines Ward,WR,2000,PIT,144.5
Qadry Ismail,WR,2000,BAL,144.5
James Thrash,WR,2000,WAS,135.5
Peerless Price,WR,2000,BUF,133.2
Albert Connell,WR,2000,WAS,131.6
Andre Rison,WR,2000,LV,131.6
Jerome Pathon,WR,2000,IND,131.2
Eddie Kennison,WR,2000,CHI,129.1
Jacquez Green,WR,2000,TB,128.9
Irving Fryar,WR,2000,WAS,127.4
Bobby Shaw,WR,2000,PIT,122.9
Kevin Johnson,WR,2000,CLE,122.82
Willie Jackson,WR,2000,NO,120.4
Jeremy McDaniel,WR,2000,BUF,116.9
Terrence Wilkins,WR,2000,IND,116.5
Torrance Small,WR,2000,PHI,115
J.J. Stokes,WR,2000,SF,103
Herman Moore,WR,2000,DET,101.4
Marty Booker,WR,2000,CHI,101.3
Ricky Proehl,WR,2000,LA,99.1
Germane Crowell,WR,2000,DET,96.2
David Patten,WR,2000,CLE,95.1
Sylvester Morris,WR,2000,KC,93.84
Leslie Shepherd,WR,2000,MIA,93.8
Tim Dwight,WR,2000,ATL,87.5
Kevin Lockett,WR,2000,KC,85.4
Chris Sanders,WR,2000,TEN,84.7
Dennis Northcutt,WR,2000,CLE,81.8
Raghib Ismail,WR,2000,DAL,73.3
Wane McGarity,WR,2000,DAL,72.9
Travis Taylor,WR,2000,BAL,71.5
James Jett,WR,2000,LV,67.6
Laveranues Coles,WR,2000,NYJ,65.3
Reidel Anthony,WR,2000,TB,62.2
Donald Driver,WR,2000,GB,61.6
Tony Martin,WR,2000,MIA,61.1
Derrick Mayes,WR,2000,SEA,60.3
Isaac Byrd,WR,2000,CAR,58.1
Keith Poole,WR,2000,NO,56.3
Yancey Thigpen,WR,2000,TEN,55.9
Craig Yeast,WR,2000,CIN,55.6
Joe Jurevicius,WR,2000,NYG,55.2
Jermaine Lewis,WR,2000,BAL,55.12
Courtney Hawkins,WR,2000,PIT,48.8
Macey Brooks,WR,2000,CHI,47.6
Plaxico Burress,WR,2000,PIT,47.3
Matt Hatchette,WR,2000,MIN,47
Tai Streets,WR,2000,SF,45.7
E.G. Green,WR,2000,IND,44.1
Danny Farmer,WR,2000,CIN,43.8
Reggie Jones,WR,2000,LAC,43.2
Tony Simmons,WR,2000,NE,43.1
MarTay Jenkins,WR,2000,ARI,42.8
Alvis Whitted,WR,2000,JAX,42.7
Brandon Stokley,WR,2000,BAL,42
Pat Johnson,WR,2000,BAL,41.5
Larry Foster,WR,2000,DET,39.6
Troy Edwards,WR,2000,PIT,38.4
Mac Cody,WR,2000,ARI,38.2
R.Jay Soward,WR,2000,JAX,38.2
Chris Walsh,WR,2000,MIN,37.1
Jake Reed,WR,2000,NO,36.6
Jason Tucker,WR,2000,DAL,35.8
Trevor Gaylor,WR,2000,LAC,35.4
Carl Pickens,WR,2000,TEN,34.2
Ron Dugans,WR,2000,CIN,32.5
Todd Pinkston,WR,2000,PHI,28.1
O.J. McDuffie,WR,2000,MIA,28
Bobby Engram,WR,2000,CHI,27
Robert Wilson,WR,2000,NO,26.4
Andre Reed,WR,2000,WAS,26.3
Tony Horne,WR,2000,LA,25.8
JaJuan Dawson,WR,2000,CLE,24.7
Na Brown,WR,2000,PHI,23
Dez White,WR,2000,CHI,22.7
Ron Dixon,WR,2000,NYG,22.5
Kevin Dyson,WR,2000,TEN,22.4
Charles Lee,WR,2000,GB,21.6
Darrin Chiaverini,WR,2000,CLE,20.4
Bert Emanuel,WR,2000,MIA,19.5
Michael Westbrook,WR,2000,WAS,19.3
Windrell Hayes,WR,2000,NYJ,18.8
Karsten Bailey,WR,2000,SEA,18.2
James Williams,WR,2000,SEA,17.4
Joey Galloway,WR,2000,DAL,16.2
Iheanyi Uwaezuoke,WR,2000,CAR,14.6
Chris Calloway,WR,2000,NE,14.5
Michael Bates,WR,2000,CAR,14.4
David Dunn,WR,2000,LV,13.3
Travis McGriff,WR,2000,DEN,13.1
Brian Finneran,WR,2000,ATL,13
Brian Stablein,WR,2000,DET,11.8
Karl Williams,WR,2000,TB,11.5
Kwame Cavil,WR,2000,BUF,10.6
Jeff Ogden,WR,2000,MIA,10.4
Will Blackwell,WR,2000,PIT,10.3
Damon Hodge,WR,2000,DAL,10
Vincent Brisby,WR,2000,NYJ,10
Curtis Jackson,WR,2000,NE,9.4
Desmond Howard,WR,2000,DET,9.4
Billy Davis,WR,2000,BAL,9.2
Robert Brooks,WR,2000,DEN,8.1
D'Wayne Bates,WR,2000,CHI,8
Karl Hankton,WR,2000,CAR,7.8
Thabiti Davis,WR,2000,NYG,6
Larry Parker,WR,2000,KC,4.6
Damon Griffin,WR,2000,CIN,4.5
Reggie Barlow,WR,2000,JAX,3.8
Nate Jacquet,WR,2000,LAC,3.5
Bobby Brown,WR,2000,CLE,3.4
Chris Brazzell,WR,2000,DAL,3.2
Shockmain Davis,WR,2000,NE,3.2
Glyn Milburn,WR,2000,CHI,2.4
Jammi German,WR,2000,ATL,2
Scottie Montgomery,WR,2000,DEN,2
Dameane Douglas,WR,2000,PHI,1.9
Alex Van Dyke,WR,2000,PHI,1.8
Justin Swift,WR,2000,SF,1.8
Troy Walters,WR,2000,MIN,1.8
Damon Dunn,WR,2000,CLE,1.6
Jerry Porter,WR,2000,LV,1.6
Lenzie Jackson,WR,2000,CLE,1.5
Bashir Yamini,WR,2000,TEN,0
Chris Jackson,WR,2000,TEN,0
Chris Thomas,WR,2000,LA,0
Corey Bradford,WR,2000,GB,0
Isaac Jones,WR,2000,IND,0
Malcolm Johnson,WR,2000,PIT,0
Dwight Stone,WR,2000,NYJ,-0.1
Mike Alstott,FB,2001,TB,192.1
Larry Centers,FB,2001,BUF,180
Bob Christian,FB,2001,ATL,136.6
Tony Richardson,FB,2001,KC,117.6
Richie Anderson,FB,2001,NYJ,85.4
Marc Edwards,FB,2001,NE,67.7
Brad Hoover,FB,2001,CAR,49.6
Jon Ritchie,FB,2001,LV,46.4
William Henderson,FB,2001,GB,41.4
Chris Hetherington,FB,2001,CAR,36.6
Mack Strong,FB,2001,SEA,36.6
Lorenzo Neal,FB,2001,CIN,36.1
Harold Morrow,FB,2001,MIN,33.9
Donnell Bennett,FB,2001,WAS,32.1
Joel Makovicka,FB,2001,ARI,31.4
Rob Konrad,FB,2001,MIA,24.4
Daimon Shelton,FB,2001,CHI,23.6
Sam Gash,FB,2001,BAL,22.9
Bryan Johnson,FB,2001,WAS,21.9
Terrelle Smith,FB,2001,NO,19.8
Robert Thomas,FB,2001,DAL,16.9
Jon Witman,FB,2001,PIT,11.6
Dan Kreider,FB,2001,PIT,11.4
Robert Holcombe,FB,2001,LA,10.6
Patrick Washington,FB,2001,JAX,8.6
Jerald Sowell,FB,2001,NYJ,3.8
Phillip Crosby,FB,2001,BUF,3.6
Heath Evans,FB,2001,SEA,1.1
Jim Finn,FB,2001,IND,0
Tim Seder,K,2001,DAL,6.8
Jay Feely,K,2001,ATL,0.8
Kris Brown,K,2001,PIT,0.6
Martin Gramatica,K,2001,TB,0
John Carney,K,2001,NO,-0.1
Olindo Mare,K,2001,MIA,-0.5
Jeff Garcia,QB,2001,SF,296.92
Kurt Warner,QB,2001,LA,293.2
Rich Gannon,QB,2001,LV,266.22
Steve McNair,QB,2001,TEN,265.4
Peyton Manning,QB,2001,IND,260.94
Brett Favre,QB,2001,GB,260.44
Donovan McNabb,QB,2001,PHI,259.52
Aaron Brooks,QB,2001,NO,253.08
Kordell Stewart,QB,2001,PIT,238.06
Jay Fiedler,QB,2001,MIA,220.02
Jake Plummer,QB,2001,ARI,202.42
Daunte Culpepper,QB,2001,MIN,201.08
Brad Johnson,QB,2001,TB,196.24
Brian Griese,QB,2001,DEN,192.78
Kerry Collins,QB,2001,NYG,190.66
Trent Green,QB,2001,KC,188.22
Doug Flutie,QB,2001,LAC,183.76
Mark Brunell,QB,2001,JAX,170.76
Chris Weinke,QB,2001,CAR,166.04
Tom Brady,QB,2001,NE,163.32
Chris Chandler,QB,2001,ATL,158.28
Tim Couch,QB,2001,CLE,156.4
Elvis Grbac,QB,2001,BAL,143.12
Vinny Testaverde,QB,2001,NYJ,140.58
Jon Kitna,QB,2001,CIN,139.94
Tony Banks,QB,2001,WAS,136.64
Charlie Batch,QB,2001,DET,118.18
Jim Miller,QB,2001,CHI,116.06
Alex Van Pelt,QB,2001,BUF,111.54
Matt Hasselbeck,QB,2001,SEA,103.02
Rob Johnson,QB,2001,BUF,86.7
Quincy Carter,QB,2001,DAL,67.88
Trent Dilfer,QB,2001,SEA,64.76
Todd Bouman,QB,2001,MIN,61.9
Mike Vick,QB,2001,ATL,58.3
Mike McMahon,QB,2001,DET,51.34
Randall Cunningham,QB,2001,BAL,42.92
Shane Matthews,QB,2001,CHI,34.26
Anthony Wright,QB,2001,DAL,32.86
Gus Frerotte,QB,2001,DEN,29.22
Ty Detmer,QB,2001,DET,28.84
Neil O'Donnell,QB,2001,TEN,26.64
Drew Bledsoe,QB,2001,NE,21.8
Clint Stoerner,QB,2001,DAL,21.26
Tommy Maddox,QB,2001,PIT,15.06
Drew Brees,QB,2001,LAC,14.64
Ryan Leaf,QB,2001,DAL,13.06
Kent Graham,QB,2001,WAS,12.54
A.J. Feeley,QB,2001,PHI,11.72
Spergon Wynn,QB,2001,MIN,10.82
Jonathan Quinn,QB,2001,JAX,10.64
Brock Huard,QB,2001,SEA,10.18
Travis Brown,QB,2001,BUF,9.04
Chad Pennington,QB,2001,NYJ,8.78
Kelly Holcomb,QB,2001,CLE,8.56
Ray Lucas,QB,2001,MIA,8.4
Shaun King,QB,2001,TB,7.2
Doug Johnson,QB,2001,ATL,4.12
Matt Lytle,QB,2001,CAR,4.12
Jarious Jackson,QB,2001,DEN,3.62
Akili Smith,QB,2001,CIN,3.48
Dameyune Craig,QB,2001,CAR,3.36
Mark Rypien,QB,2001,IND,2.28
Todd Collins,QB,2001,KC,2.2
Marques Tuiasosopo,QB,2001,LV,1.46
Tee Martin,QB,2001,PIT,0.8
Koy Detmer,QB,2001,PHI,0.64
Tim Rattay,QB,2001,SF,0.54
Billy Volek,QB,2001,TEN,0
Jamie Martin,QB,2001,LA,-0.02
Doug Pederson,QB,2001,GB,-0.1
Jeff Blake,QB,2001,NO,-0.1
Jeff George,QB,2001,WAS,-1.28
Scott Mitchell,QB,2001,CIN,-4.48
Marshall Faulk,RB,2001,LA,419.7
Priest Holmes,RB,2001,KC,334.9
Ahman Green,RB,2001,GB,318.1
Shaun Alexander,RB,2001,SEA,298.1
Curtis Martin,RB,2001,NYJ,297.02
LaDainian Tomlinson,RB,2001,LAC,269.3
Ricky Williams,RB,2001,NO,265.6
Corey Dillon,RB,2001,CIN,258.3
Tiki Barber,RB,2001,NYG,240.2
Charlie Garner,RB,2001,LV,227.7
Garrison Hearst,RB,2001,SF,224.3
Antowain Smith,RB,2001,NE,223.9
Stephen Davis,RB,2001,WAS,217.7
Dominic Rhodes,RB,2001,IND,214.8
Duce Staley,RB,2001,PHI,208
Anthony Thomas,RB,2001,CHI,202.1
Warrick Dunn,RB,2001,TB,200.4
Lamar Smith,RB,2001,MIA,188.2
Stacey Mack,RB,2001,JAX,185.2
Michael Pittman,RB,2001,ARI,179
Eddie George,RB,2001,TEN,176.8
Jamel White,RB,2001,CLE,168.1
Maurice Smith,RB,2001,ATL,152
Jerome Bettis,RB,2001,PIT,149.28
Emmitt Smith,RB,2001,DAL,146.7
Cory Schlesinger,RB,2001,DET,138
Michael Bennett,RB,2001,MIN,137.8
Travis Henry,RB,2001,BUF,132.8
Kevan Barlow,RB,2001,SF,127.9
